Day,Date,Daily Consumption (kWh),Monthly Running Total (kWh),Estimated Daily Bill (Rs.),Efficiency
1,1/7/2026,27.5,27.5,"1,787.50",Good
2,1/8/2026,28.1,55.6,"1,826.50",Good
3,1/9/2026,29,84.6,"1,885.00",Good
4,1/10/2026,30.25,114.85,"1,966.25",Average
5,1/11/2026,28.75,143.6,"1,868.75",Good
6,1/12/2026,27.9,171.5,"1,813.50",Good
7,1/13/2026,29.2,200.7,"1,898.00",Good
8,1/14/2026,28.45,229.15,"1,849.25",Good
9,1/15/2026,30.1,259.25,"1,956.50",Average
10,1/16/2026,29.65,288.9,"1,927.25",Good
11,1/17/2026,28.3,317.2,"1,839.50",Good
12,1/18/2026,27.85,345.05,"1,810.25",Good
13,1/19/2026,28.9,373.95,"1,878.50",Good
14,1/20/2026,29.4,403.35,"1,911.00",Good
15,1/21/2026,30,433.35,"1,950.00",Average
16,1/22/2026,28.2,461.55,"1,833.00",Good
17,1/23/2026,27.6,489.15,"1,794.00",Good
18,1/24/2026,29.1,518.25,"1,891.50",Good
19,1/25/2026,28.8,547.05,"1,872.00",Good
20,1/26/2026,29.5,576.55,"1,917.50",Good
21,1/27/2026,30.3,606.85,"1,969.50",Average
22,1/28/2026,28.6,635.45,"1,859.00",Good
23,1/29/2026,27.95,663.4,"1,816.75",Good
24,1/30/2026,29.25,692.65,"1,901.25",Good
25,1/31/2026,28.7,721.35,"1,865.50",Good
26,2/1/2026,29.8,751.15,"1,937.00",Good
27,2/2/2026,30.15,781.3,"1,959.75",Average
28,2/3/2026,28.4,809.7,"1,846.00",Good
29,2/4/2026,27.75,837.45,"1,803.75",Good
30,2/5/2026,29.05,866.5,"1,888.25",Good
